tile_id,aoi_id,category,bbox
gift_city_gandhinagar_r0_c0,gift_city_gandhinagar,urban,"[72.6, 23.1, 72.645, 23.145000000000003]"
gift_city_gandhinagar_r0_c1,gift_city_gandhinagar,urban,"[72.645, 23.1, 72.69, 23.145000000000003]"
gift_city_gandhinagar_r0_c2,gift_city_gandhinagar,urban,"[72.69, 23.1, 72.735, 23.145000000000003]"
gift_city_gandhinagar_r0_c3,gift_city_gandhinagar,urban,"[72.735, 23.1, 72.78, 23.145000000000003]"
gift_city_gandhinagar_r0_c4,gift_city_gandhinagar,urban,"[72.78, 23.1, 72.825, 23.145000000000003]"
gift_city_gandhinagar_r0_c5,gift_city_gandhinagar,urban,"[72.825, 23.1, 72.87, 23.145000000000003]"
gift_city_gandhinagar_r1_c0,gift_city_gandhinagar,urban,"[72.6, 23.145000000000003, 72.645, 23.190000000000005]"
gift_city_gandhinagar_r1_c1,gift_city_gandhinagar,urban,"[72.645, 23.145000000000003, 72.69, 23.190000000000005]"
gift_city_gandhinagar_r1_c2,gift_city_gandhinagar,urban,"[72.69, 23.145000000000003, 72.735, 23.190000000000005]"
gift_city_gandhinagar_r1_c3,gift_city_gandhinagar,urban,"[72.735, 23.145000000000003, 72.78, 23.190000000000005]"
gift_city_gandhinagar_r1_c4,gift_city_gandhinagar,urban,"[72.78, 23.145000000000003, 72.825, 23.190000000000005]"
gift_city_gandhinagar_r1_c5,gift_city_gandhinagar,urban,"[72.825, 23.145000000000003, 72.87, 23.190000000000005]"
gift_city_gandhinagar_r2_c0,gift_city_gandhinagar,urban,"[72.6, 23.190000000000005, 72.645, 23.235000000000007]"
gift_city_gandhinagar_r2_c1,gift_city_gandhinagar,urban,"[72.645, 23.190000000000005, 72.69, 23.235000000000007]"
gift_city_gandhinagar_r2_c2,gift_city_gandhinagar,urban,"[72.69, 23.190000000000005, 72.735, 23.235000000000007]"
gift_city_gandhinagar_r2_c3,gift_city_gandhinagar,urban,"[72.735, 23.190000000000005, 72.78, 23.235000000000007]"
